,County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
23492,15 - Kern,7/28/17,In Closure,7340497,7,NA
23493,16 - Kings,7/28/17,In Review,130000,1,NA
23494,16 - Kings,7/28/17,Pending Construction,0,0,NA
23495,16 - Kings,7/28/17,In Construction,611882,9,NA
23496,16 - Kings,7/28/17,In Closure,0,0,NA
23497,17 - Lake,7/28/17,In Review,636000,5,NA
23498,17 - Lake,7/28/17,Pending Construction,35000,1,NA
23499,17 - Lake,7/28/17,In Construction,1416472,15,NA
23500,17 - Lake,7/28/17,In Closure,1124494,4,NA
23501,18 - Lassen,7/28/17,In Review,36000,1,NA
23502,18 - Lassen,7/28/17,Pending Construction,0,0,NA
23503,18 - Lassen,7/28/17,In Construction,1452235,7,NA
23504,18 - Lassen,7/28/17,In Closure,466573,2,NA
23505,19 - Los Angeles,7/28/17,In Review,886448799,402,Greater Los Angeles Counties
23506,19 - Los Angeles,7/28/17,Pending Construction,264611424,483,Greater Los Angeles Counties
23507,19 - Los Angeles,7/28/17,In Construction,633573764,862,Greater Los Angeles Counties
23508,19 - Los Angeles,7/28/17,In Closure,149691219,234,Greater Los Angeles Counties
23509,20 - Madera,7/28/17,In Review,7402101,7,NA
23510,20 - Madera,7/28/17,Pending Construction,6659844,4,NA
23511,20 - Madera,7/28/17,In Construction,8842679,24,NA
23512,20 - Madera,7/28/17,In Closure,6966957,4,NA
23513,21 - Marin,7/28/17,In Review,6618432,11,Bay Area Counties
23514,21 - Marin,7/28/17,Pending Construction,5921700,20,Bay Area Counties
23515,21 - Marin,7/28/17,In Construction,34140595,43,Bay Area Counties
23516,21 - Marin,7/28/17,In Closure,1492976,6,Bay Area Counties
23517,22 - Mariposa,7/28/17,In Review,25000,1,NA
23518,22 - Mariposa,7/28/17,Pending Construction,0,0,NA
23519,22 - Mariposa,7/28/17,In Construction,0,0,NA
23520,22 - Mariposa,7/28/17,In Closure,0,0,NA
23521,23 - Mendocino,7/28/17,In Review,481293,6,NA
23522,23 - Mendocino,7/28/17,Pending Construction,1535000,10,NA
23523,23 - Mendocino,7/28/17,In Construction,20598066,14,NA
23524,23 - Mendocino,7/28/17,In Closure,286969,3,NA
23525,24 - Merced,7/28/17,In Review,31630,2,NA
23526,24 - Merced,7/28/17,Pending Construction,98785,3,NA
23527,24 - Merced,7/28/17,In Construction,1440442,14,NA
23528,24 - Merced,7/28/17,In Closure,89362,2,NA
23529,25 - Modoc,7/28/17,In Review,0,0,NA
23530,25 - Modoc,7/28/17,Pending Construction,0,0,NA
23531,25 - Modoc,7/28/17,In Construction,45000,1,NA
23532,25 - Modoc,7/28/17,In Closure,0,0,NA
23533,26 - Mono,7/28/17,In Review,60000,1,NA
23534,26 - Mono,7/28/17,Pending Construction,0,0,NA
23535,26 - Mono,7/28/17,In Construction,21000,1,NA
23536,26 - Mono,7/28/17,In Closure,0,0,NA
23537,27 - Monterey,7/28/17,In Review,2224942,14,NA
23538,27 - Monterey,7/28/17,Pending Construction,12002519,14,NA
23539,27 - Monterey,7/28/17,In Construction,44137603,28,NA
23540,27 - Monterey,7/28/17,In Closure,1685702,5,NA
23541,28 - Napa,7/28/17,In Review,11350565,8,Bay Area Counties
23542,28 - Napa,7/28/17,Pending Construction,2859656,13,Bay Area Counties
23543,28 - Napa,7/28/17,In Construction,5611743,22,Bay Area Counties
23544,28 - Napa,7/28/17,In Closure,238461,5,Bay Area Counties
23545,29 - Nevada,7/28/17,In Review,2192957,6,NA
23546,29 - Nevada,7/28/17,Pending Construction,5211794,14,NA
23547,29 - Nevada,7/28/17,In Construction,26518550,13,NA
23548,29 - Nevada,7/28/17,In Closure,9754472,5,NA
23549,30 - Orange,7/28/17,In Review,180048003,89,Greater Los Angeles Counties
23550,30 - Orange,7/28/17,Pending Construction,31280722,70,Greater Los Angeles Counties
23551,30 - Orange,7/28/17,In Construction,128523212,149,Greater Los Angeles Counties
23552,30 - Orange,7/28/17,In Closure,26306977,68,Greater Los Angeles Counties
23553,31 - Placer,7/28/17,In Review,11917670,8,Greater Sacramento Counties
23554,31 - Placer,7/28/17,Pending Construction,1698000,11,Greater Sacramento Counties
23555,31 - Placer,7/28/17,In Construction,28518054,25,Greater Sacramento Counties
23556,31 - Placer,7/28/17,In Closure,1641787,7,Greater Sacramento Counties
23557,32 - Plumas,7/28/17,In Review,80000,1,NA
23558,32 - Plumas,7/28/17,Pending Construction,80000,4,NA
23559,32 - Plumas,7/28/17,In Construction,18859,3,NA
23560,32 - Plumas,7/28/17,In Closure,0,0,NA
23561,33 - Riverside,7/28/17,In Review,169183877,46,NA
23562,33 - Riverside,7/28/17,Pending Construction,41581720,62,NA
23563,33 - Riverside,7/28/17,In Construction,450236260,106,NA
23564,33 - Riverside,7/28/17,In Closure,30342837,41,NA
23565,34 - Sacramento,7/28/17,In Review,61421031,32,Greater Sacramento Counties
23566,34 - Sacramento,7/28/17,Pending Construction,47272098,57,Greater Sacramento Counties
23567,34 - Sacramento,7/28/17,In Construction,280734252,148,Greater Sacramento Counties
23568,34 - Sacramento,7/28/17,In Closure,181027082,36,Greater Sacramento Counties
23569,35 - San Benito,7/28/17,In Review,99000,2,NA
23570,35 - San Benito,7/28/17,Pending Construction,0,0,NA
23571,35 - San Benito,7/28/17,In Construction,103388,1,NA
23572,35 - San Benito,7/28/17,In Closure,19954162,1,NA
23573,36 - San Bernardino,7/28/17,In Review,368595742,47,NA
23574,36 - San Bernardino,7/28/17,Pending Construction,123471268,74,NA
23575,36 - San Bernardino,7/28/17,In Construction,436051200,140,NA
23576,36 - San Bernardino,7/28/17,In Closure,9491550,35,NA
23577,37 - San Diego,7/28/17,In Review,196751952,87,NA
23578,37 - San Diego,7/28/17,Pending Construction,34975596,115,NA
23579,37 - San Diego,7/28/17,In Construction,346464442,210,NA
23580,37 - San Diego,7/28/17,In Closure,50648121,83,NA
23581,38 - San Francisco,7/28/17,In Review,116193297,61,Bay Area Counties
23582,38 - San Francisco,7/28/17,Pending Construction,26615392,48,Bay Area Counties
23583,38 - San Francisco,7/28/17,In Construction,1378490884,110,Bay Area Counties
23584,38 - San Francisco,7/28/17,In Closure,12598374,33,Bay Area Counties
23585,39 - San Joaquin,7/28/17,In Review,27046444,19,NA
23586,39 - San Joaquin,7/28/17,Pending Construction,3975595,15,NA
23587,39 - San Joaquin,7/28/17,In Construction,40620646,25,NA
23588,39 - San Joaquin,7/28/17,In Closure,4769363,7,NA
23589,40 - San Luis Obispo,7/28/17,In Review,17734730,12,NA
23590,40 - San Luis Obispo,7/28/17,Pending Construction,338700,5,NA
23591,40 - San Luis Obispo,7/28/17,In Construction,5791731,15,NA
23592,40 - San Luis Obispo,7/28/17,In Closure,1291000,2,NA
23593,41 - San Mateo,7/28/17,In Review,40018895,32,Bay Area Counties
23594,41 - San Mateo,7/28/17,Pending Construction,137759772,25,Bay Area Counties
23595,41 - San Mateo,7/28/17,In Construction,32467567,51,Bay Area Counties
23596,41 - San Mateo,7/28/17,In Closure,2163650,7,Bay Area Counties
23597,42 - Santa Barbara,7/28/17,In Review,24999850,10,NA
23598,42 - Santa Barbara,7/28/17,Pending Construction,1725200,12,NA
23599,42 - Santa Barbara,7/28/17,In Construction,143972771,36,NA
23600,42 - Santa Barbara,7/28/17,In Closure,84844132,12,NA
23601,43 - Santa Clara,7/28/17,In Review,345786671,64,Bay Area Counties
23602,43 - Santa Clara,7/28/17,Pending Construction,12939402,35,Bay Area Counties
23603,43 - Santa Clara,7/28/17,In Construction,2044415601,145,Bay Area Counties
23604,43 - Santa Clara,7/28/17,In Closure,26432454,19,Bay Area Counties
23605,44 - Santa Cruz,7/28/17,In Review,9077882,10,NA
23606,44 - Santa Cruz,7/28/17,Pending Construction,2090000,2,NA
23607,44 - Santa Cruz,7/28/17,In Construction,9178157,16,NA
23608,44 - Santa Cruz,7/28/17,In Closure,344383,2,NA
23609,45 - Shasta,7/28/17,In Review,13009196,7,NA
23610,45 - Shasta,7/28/17,Pending Construction,1482500,11,NA
23611,45 - Shasta,7/28/17,In Construction,7705793,21,NA
23612,45 - Shasta,7/28/17,In Closure,1247471,4,NA
23613,46 - Sierra,7/28/17,In Review,70000,1,NA
23614,46 - Sierra,7/28/17,Pending Construction,102200,1,NA
23615,46 - Sierra,7/28/17,In Construction,0,0,NA
23616,46 - Sierra,7/28/17,In Closure,0,0,NA
23617,47 - Siskiyou,7/28/17,In Review,4083300,3,NA
23618,47 - Siskiyou,7/28/17,Pending Construction,1773738,8,NA
23619,47 - Siskiyou,7/28/17,In Construction,139950,3,NA
23620,47 - Siskiyou,7/28/17,In Closure,0,0,NA
23621,48 - Solano,7/28/17,In Review,2060372,12,Bay Area Counties
23622,48 - Solano,7/28/17,Pending Construction,2362009,12,Bay Area Counties
23623,48 - Solano,7/28/17,In Construction,78005454,15,Bay Area Counties
23624,48 - Solano,7/28/17,In Closure,3474099,13,Bay Area Counties
23625,49 - Sonoma,7/28/17,In Review,35557851,19,Bay Area Counties
23626,49 - Sonoma,7/28/17,Pending Construction,4044426,23,Bay Area Counties
23627,49 - Sonoma,7/28/17,In Construction,18430051,54,Bay Area Counties
23628,49 - Sonoma,7/28/17,In Closure,1063101,8,Bay Area Counties
23629,50 - Stanislaus,7/28/17,In Review,13080121,6,NA
23630,50 - Stanislaus,7/28/17,Pending Construction,4511212,23,NA
23631,50 - Stanislaus,7/28/17,In Construction,22688434,36,NA
23632,50 - Stanislaus,7/28/17,In Closure,1089325,2,NA
23633,51 - Sutter,7/28/17,In Review,12000,1,NA
23634,51 - Sutter,7/28/17,Pending Construction,5500,1,NA
23635,51 - Sutter,7/28/17,In Construction,5300,1,NA
23636,51 - Sutter,7/28/17,In Closure,0,0,NA
23637,52 - Tehama,7/28/17,In Review,90000,1,NA
23638,52 - Tehama,7/28/17,Pending Construction,197000,3,NA
23639,52 - Tehama,7/28/17,In Construction,1072636,4,NA
23640,52 - Tehama,7/28/17,In Closure,173655,1,NA
23641,53 - Trinity,7/28/17,In Review,0,0,NA
23642,53 - Trinity,7/28/17,Pending Construction,178500,3,NA
23643,53 - Trinity,7/28/17,In Construction,1386617,2,NA
23644,53 - Trinity,7/28/17,In Closure,0,0,NA
23645,54 - Tulare,7/28/17,In Review,25610732,10,NA
23646,54 - Tulare,7/28/17,Pending Construction,10360,1,NA
23647,54 - Tulare,7/28/17,In Construction,51519934,23,NA
23648,54 - Tulare,7/28/17,In Closure,1973124,4,NA
23649,55 - Tuolumne,7/28/17,In Review,163231,1,NA
23650,55 - Tuolumne,7/28/17,Pending Construction,0,0,NA
23651,55 - Tuolumne,7/28/17,In Construction,2061102,3,NA
23652,55 - Tuolumne,7/28/17,In Closure,0,0,NA
23653,56 - Ventura,7/28/17,In Review,30698752,25,Greater Los Angeles Counties
23654,56 - Ventura,7/28/17,Pending Construction,6189128,20,Greater Los Angeles Counties
23655,56 - Ventura,7/28/17,In Construction,591294909,69,Greater Los Angeles Counties
23656,56 - Ventura,7/28/17,In Closure,4357204,12,Greater Los Angeles Counties
23657,57 - Yolo,7/28/17,In Review,2205000,4,Greater Sacramento Counties
23658,57 - Yolo,7/28/17,Pending Construction,498282,6,Greater Sacramento Counties
23659,57 - Yolo,7/28/17,In Construction,10992808,12,Greater Sacramento Counties
23660,57 - Yolo,7/28/17,In Closure,5579,1,Greater Sacramento Counties
23661,58 - Yuba,7/28/17,In Review,0,1,NA
23662,58 - Yuba,7/28/17,Pending Construction,3436191,6,NA
23663,58 - Yuba,7/28/17,In Construction,57501528,12,NA
23664,58 - Yuba,7/28/17,In Closure,89254407,4,NA
23665,01 - Alameda,8/10/17,In Review,149319461,51,Bay Area Counties
23666,01 - Alameda,8/10/17,Pending Construction,30985275,43,Bay Area Counties
23667,01 - Alameda,8/10/17,In Construction,623857917,110,Bay Area Counties
23668,01 - Alameda,8/10/17,In Closure,3613026,13,Bay Area Counties
23669,02 - Alpine,8/10/17,In Review,0,0,NA
23670,02 - Alpine,8/10/17,Pending Construction,0,0,NA
23671,02 - Alpine,8/10/17,In Construction,0,0,NA
23672,02 - Alpine,8/10/17,In Closure,0,0,NA
23673,03 - Amador,8/10/17,In Review,0,0,NA
23674,03 - Amador,8/10/17,Pending Construction,65000,1,NA
23675,03 - Amador,8/10/17,In Construction,2143187,4,NA
23676,03 - Amador,8/10/17,In Closure,147012,3,NA
23677,04 - Butte,8/10/17,In Review,88665000,9,NA
23678,04 - Butte,8/10/17,Pending Construction,315000,3,NA
23679,04 - Butte,8/10/17,In Construction,2840453,9,NA
23680,04 - Butte,8/10/17,In Closure,87551,5,NA
23681,05 - Calaveras,8/10/17,In Review,0,0,NA
23682,05 - Calaveras,8/10/17,Pending Construction,150000,1,NA
23683,05 - Calaveras,8/10/17,In Construction,141564,2,NA
23684,05 - Calaveras,8/10/17,In Closure,0,0,NA
23685,06 - Colusa,8/10/17,In Review,0,0,NA
23686,06 - Colusa,8/10/17,Pending Construction,0,0,NA
23687,06 - Colusa,8/10/17,In Construction,0,0,NA
23688,06 - Colusa,8/10/17,In Closure,0,0,NA
23689,07 - Contra Costa,8/10/17,In Review,25164412,29,Bay Area Counties
23690,07 - Contra Costa,8/10/17,Pending Construction,3700801,20,Bay Area Counties
23691,07 - Contra Costa,8/10/17,In Construction,44125219,58,Bay Area Counties
23692,07 - Contra Costa,8/10/17,In Closure,6840011,19,Bay Area Counties
23693,08 - Del Norte,8/10/17,In Review,90000,1,NA
23694,08 - Del Norte,8/10/17,Pending Construction,52300,4,NA
23695,08 - Del Norte,8/10/17,In Construction,3040800,8,NA
23696,08 - Del Norte,8/10/17,In Closure,0,0,NA
23697,09 - El Dorado,8/10/17,In Review,3388079,7,Greater Sacramento Counties
23698,09 - El Dorado,8/10/17,Pending Construction,1982373,3,Greater Sacramento Counties
23699,09 - El Dorado,8/10/17,In Construction,16325606,18,Greater Sacramento Counties
23700,09 - El Dorado,8/10/17,In Closure,27932,1,Greater Sacramento Counties
23701,10 - Fresno,8/10/17,In Review,132135837,18,NA
23702,10 - Fresno,8/10/17,Pending Construction,2333477,25,NA
23703,10 - Fresno,8/10/17,In Construction,67800181,77,NA
23704,10 - Fresno,8/10/17,In Closure,727105,4,NA
23705,11 - Glenn,8/10/17,In Review,0,0,NA
23706,11 - Glenn,8/10/17,Pending Construction,12962075,2,NA
23707,11 - Glenn,8/10/17,In Construction,0,0,NA
23708,11 - Glenn,8/10/17,In Closure,0,0,NA
23709,12 - Humboldt,8/10/17,In Review,923000,2,NA
23710,12 - Humboldt,8/10/17,Pending Construction,9540600,6,NA
23711,12 - Humboldt,8/10/17,In Construction,88361565,7,NA
23712,12 - Humboldt,8/10/17,In Closure,1019279,6,NA
23713,13 - Imperial,8/10/17,In Review,13725000,5,NA
23714,13 - Imperial,8/10/17,Pending Construction,47005000,7,NA
23715,13 - Imperial,8/10/17,In Construction,22835571,8,NA
23716,13 - Imperial,8/10/17,In Closure,9178248,3,NA
23717,14 - Inyo,8/10/17,In Review,0,0,NA
23718,14 - Inyo,8/10/17,Pending Construction,30000,1,NA
23719,14 - Inyo,8/10/17,In Construction,0,0,NA
23720,14 - Inyo,8/10/17,In Closure,45000,1,NA
23721,15 - Kern,8/10/17,In Review,51288820,24,NA
23722,15 - Kern,8/10/17,Pending Construction,4692613,16,NA
23723,15 - Kern,8/10/17,In Construction,57689750,50,NA
23724,15 - Kern,8/10/17,In Closure,7002695,7,NA
23725,16 - Kings,8/10/17,In Review,130000,1,NA
23726,16 - Kings,8/10/17,Pending Construction,111500,1,NA
23727,16 - Kings,8/10/17,In Construction,611882,9,NA
23728,16 - Kings,8/10/17,In Closure,0,0,NA
23729,17 - Lake,8/10/17,In Review,625000,4,NA
23730,17 - Lake,8/10/17,Pending Construction,11000,1,NA
23731,17 - Lake,8/10/17,In Construction,1442472,16,NA
23732,17 - Lake,8/10/17,In Closure,944494,3,NA
23733,18 - Lassen,8/10/17,In Review,86000,2,NA
23734,18 - Lassen,8/10/17,Pending Construction,38620,1,NA
23735,18 - Lassen,8/10/17,In Construction,1389235,6,NA
23736,18 - Lassen,8/10/17,In Closure,540000,2,NA
23737,19 - Los Angeles,8/10/17,In Review,857764623,360,Greater Los Angeles Counties
23738,19 - Los Angeles,8/10/17,Pending Construction,231806145,463,Greater Los Angeles Counties
23739,19 - Los Angeles,8/10/17,In Construction,619095895,879,Greater Los Angeles Counties
23740,19 - Los Angeles,8/10/17,In Closure,157252257,228,Greater Los Angeles Counties
23741,20 - Madera,8/10/17,In Review,8915138,10,NA
23742,20 - Madera,8/10/17,Pending Construction,1792885,3,NA
23743,20 - Madera,8/10/17,In Construction,14849708,26,NA
23744,20 - Madera,8/10/17,In Closure,1131628,2,NA
23745,21 - Marin,8/10/17,In Review,6671868,12,Bay Area Counties
23746,21 - Marin,8/10/17,Pending Construction,3539336,17,Bay Area Counties
23747,21 - Marin,8/10/17,In Construction,36124719,46,Bay Area Counties
23748,21 - Marin,8/10/17,In Closure,1492976,6,Bay Area Counties
23749,22 - Mariposa,8/10/17,In Review,25000,1,NA
23750,22 - Mariposa,8/10/17,Pending Construction,0,0,NA
23751,22 - Mariposa,8/10/17,In Construction,0,0,NA
23752,22 - Mariposa,8/10/17,In Closure,0,0,NA
23753,23 - Mendocino,8/10/17,In Review,432793,6,NA
23754,23 - Mendocino,8/10/17,Pending Construction,1084700,9,NA
23755,23 - Mendocino,8/10/17,In Construction,21622566,17,NA
23756,23 - Mendocino,8/10/17,In Closure,250969,2,NA
23757,24 - Merced,8/10/17,In Review,31630,2,NA
23758,24 - Merced,8/10/17,Pending Construction,98785,3,NA
23759,24 - Merced,8/10/17,In Construction,1440442,14,NA
23760,24 - Merced,8/10/17,In Closure,46134,1,NA
23761,25 - Modoc,8/10/17,In Review,0,0,NA
23762,25 - Modoc,8/10/17,Pending Construction,0,0,NA
23763,25 - Modoc,8/10/17,In Construction,45000,1,NA
23764,25 - Modoc,8/10/17,In Closure,0,0,NA
23765,26 - Mono,8/10/17,In Review,60000,1,NA
23766,26 - Mono,8/10/17,Pending Construction,0,0,NA
23767,26 - Mono,8/10/17,In Construction,21000,1,NA
23768,26 - Mono,8/10/17,In Closure,0,0,NA
23769,27 - Monterey,8/10/17,In Review,1315252,15,NA
23770,27 - Monterey,8/10/17,Pending Construction,13000109,17,NA
23771,27 - Monterey,8/10/17,In Construction,43568103,26,NA
23772,27 - Monterey,8/10/17,In Closure,1805202,6,NA
23773,28 - Napa,8/10/17,In Review,11435565,9,Bay Area Counties
23774,28 - Napa,8/10/17,Pending Construction,1836305,9,Bay Area Counties
23775,28 - Napa,8/10/17,In Construction,6724154,26,Bay Area Counties
23776,28 - Napa,8/10/17,In Closure,112571,4,Bay Area Counties
23777,29 - Nevada,8/10/17,In Review,2192957,6,NA
23778,29 - Nevada,8/10/17,Pending Construction,3239305,8,NA
23779,29 - Nevada,8/10/17,In Construction,27905746,18,NA
23780,29 - Nevada,8/10/17,In Closure,9754472,5,NA
23781,30 - Orange,8/10/17,In Review,172011139,85,Greater Los Angeles Counties
23782,30 - Orange,8/10/17,Pending Construction,29983075,70,Greater Los Angeles Counties
23783,30 - Orange,8/10/17,In Construction,131004788,150,Greater Los Angeles Counties
23784,30 - Orange,8/10/17,In Closure,20116056,65,Greater Los Angeles Counties
23785,31 - Placer,8/10/17,In Review,13217670,10,Greater Sacramento Counties
23786,31 - Placer,8/10/17,Pending Construction,875000,6,Greater Sacramento Counties
23787,31 - Placer,8/10/17,In Construction,29457236,30,Greater Sacramento Counties
23788,31 - Placer,8/10/17,In Closure,1641787,7,Greater Sacramento Counties
23789,32 - Plumas,8/10/17,In Review,80000,1,NA
23790,32 - Plumas,8/10/17,Pending Construction,80000,4,NA
23791,32 - Plumas,8/10/17,In Construction,18859,3,NA
23792,32 - Plumas,8/10/17,In Closure,0,0,NA
23793,33 - Riverside,8/10/17,In Review,166534111,43,NA
23794,33 - Riverside,8/10/17,Pending Construction,43968480,63,NA
23795,33 - Riverside,8/10/17,In Construction,450371526,110,NA
23796,33 - Riverside,8/10/17,In Closure,27892661,30,NA
23797,34 - Sacramento,8/10/17,In Review,61679748,32,Greater Sacramento Counties
23798,34 - Sacramento,8/10/17,Pending Construction,46830014,55,Greater Sacramento Counties
23799,34 - Sacramento,8/10/17,In Construction,281788213,152,Greater Sacramento Counties
23800,34 - Sacramento,8/10/17,In Closure,164499940,29,Greater Sacramento Counties
23801,35 - San Benito,8/10/17,In Review,99000,2,NA
23802,35 - San Benito,8/10/17,Pending Construction,0,0,NA
23803,35 - San Benito,8/10/17,In Construction,103388,1,NA
23804,35 - San Benito,8/10/17,In Closure,0,0,NA
23805,36 - San Bernardino,8/10/17,In Review,368848783,45,NA
23806,36 - San Bernardino,8/10/17,Pending Construction,114230825,67,NA
23807,36 - San Bernardino,8/10/17,In Construction,443377992,144,NA
23808,36 - San Bernardino,8/10/17,In Closure,6164307,25,NA
23809,37 - San Diego,8/10/17,In Review,182227210,88,NA
23810,37 - San Diego,8/10/17,Pending Construction,46418853,113,NA
23811,37 - San Diego,8/10/17,In Construction,342671580,208,NA
23812,37 - San Diego,8/10/17,In Closure,50518116,69,NA
23813,38 - San Francisco,8/10/17,In Review,116249797,61,Bay Area Counties
23814,38 - San Francisco,8/10/17,Pending Construction,25037211,42,Bay Area Counties
23815,38 - San Francisco,8/10/17,In Construction,1375597978,113,Bay Area Counties
23816,38 - San Francisco,8/10/17,In Closure,15103085,33,Bay Area Counties
23817,39 - San Joaquin,8/10/17,In Review,26227058,17,NA
23818,39 - San Joaquin,8/10/17,Pending Construction,4710819,15,NA
23819,39 - San Joaquin,8/10/17,In Construction,40720308,27,NA
23820,39 - San Joaquin,8/10/17,In Closure,4711010,6,NA
23821,40 - San Luis Obispo,8/10/17,In Review,17709730,12,NA
23822,40 - San Luis Obispo,8/10/17,Pending Construction,318700,5,NA
23823,40 - San Luis Obispo,8/10/17,In Construction,5876731,16,NA
23824,40 - San Luis Obispo,8/10/17,In Closure,1291000,2,NA
23825,41 - San Mateo,8/10/17,In Review,39771203,31,Bay Area Counties
23826,41 - San Mateo,8/10/17,Pending Construction,137841248,25,Bay Area Counties
23827,41 - San Mateo,8/10/17,In Construction,33232526,54,Bay Area Counties
23828,41 - San Mateo,8/10/17,In Closure,6651032,7,Bay Area Counties
23829,42 - Santa Barbara,8/10/17,In Review,24979850,9,NA
23830,42 - Santa Barbara,8/10/17,Pending Construction,1745200,13,NA
23831,42 - Santa Barbara,8/10/17,In Construction,143936771,34,NA
23832,42 - Santa Barbara,8/10/17,In Closure,84673416,11,NA
23833,43 - Santa Clara,8/10/17,In Review,341674935,67,Bay Area Counties
23834,43 - Santa Clara,8/10/17,Pending Construction,15836740,36,Bay Area Counties
23835,43 - Santa Clara,8/10/17,In Construction,2044127574,145,Bay Area Counties
23836,43 - Santa Clara,8/10/17,In Closure,32476095,14,Bay Area Counties
23837,44 - Santa Cruz,8/10/17,In Review,4791761,7,NA
23838,44 - Santa Cruz,8/10/17,Pending Construction,6286121,4,NA
23839,44 - Santa Cruz,8/10/17,In Construction,9268157,17,NA
23840,44 - Santa Cruz,8/10/17,In Closure,175595,1,NA
23841,45 - Shasta,8/10/17,In Review,13009196,7,NA
23842,45 - Shasta,8/10/17,Pending Construction,1482500,11,NA
23843,45 - Shasta,8/10/17,In Construction,7715793,21,NA
23844,45 - Shasta,8/10/17,In Closure,1247471,4,NA
23845,46 - Sierra,8/10/17,In Review,70000,1,NA
23846,46 - Sierra,8/10/17,Pending Construction,102200,1,NA
23847,46 - Sierra,8/10/17,In Construction,0,0,NA
23848,46 - Sierra,8/10/17,In Closure,0,0,NA
23849,47 - Siskiyou,8/10/17,In Review,4083300,3,NA
23850,47 - Siskiyou,8/10/17,Pending Construction,1773738,8,NA
23851,47 - Siskiyou,8/10/17,In Construction,139950,3,NA
23852,47 - Siskiyou,8/10/17,In Closure,0,0,NA
23853,48 - Solano,8/10/17,In Review,4962266,19,Bay Area Counties
23854,48 - Solano,8/10/17,Pending Construction,2098019,11,Bay Area Counties
23855,48 - Solano,8/10/17,In Construction,78405444,16,Bay Area Counties
23856,48 - Solano,8/10/17,In Closure,3442762,12,Bay Area Counties
23857,49 - Sonoma,8/10/17,In Review,35556651,18,Bay Area Counties
23858,49 - Sonoma,8/10/17,Pending Construction,1091621,16,Bay Area Counties
23859,49 - Sonoma,8/10/17,In Construction,25140507,61,Bay Area Counties
23860,49 - Sonoma,8/10/17,In Closure,865957,6,Bay Area Counties
23861,50 - Stanislaus,8/10/17,In Review,13205121,7,NA
23862,50 - Stanislaus,8/10/17,Pending Construction,3051945,20,NA
23863,50 - Stanislaus,8/10/17,In Construction,24190201,38,NA
23864,50 - Stanislaus,8/10/17,In Closure,1074743,1,NA
23865,51 - Sutter,8/10/17,In Review,12000,1,NA
23866,51 - Sutter,8/10/17,Pending Construction,11500,2,NA
23867,51 - Sutter,8/10/17,In Construction,5300,1,NA
23868,51 - Sutter,8/10/17,In Closure,0,0,NA
23869,52 - Tehama,8/10/17,In Review,90000,1,NA
23870,52 - Tehama,8/10/17,Pending Construction,197000,3,NA
23871,52 - Tehama,8/10/17,In Construction,1072636,4,NA
23872,52 - Tehama,8/10/17,In Closure,173655,1,NA
23873,53 - Trinity,8/10/17,In Review,0,0,NA
23874,53 - Trinity,8/10/17,Pending Construction,178500,3,NA
23875,53 - Trinity,8/10/17,In Construction,1382817,1,NA
23876,53 - Trinity,8/10/17,In Closure,3800,1,NA
23877,54 - Tulare,8/10/17,In Review,23743232,7,NA
23878,54 - Tulare,8/10/17,Pending Construction,1757860,3,NA
23879,54 - Tulare,8/10/17,In Construction,51427455,21,NA
23880,54 - Tulare,8/10/17,In Closure,1544199,4,NA
23881,55 - Tuolumne,8/10/17,In Review,163231,1,NA
23882,55 - Tuolumne,8/10/17,Pending Construction,0,0,NA
23883,55 - Tuolumne,8/10/17,In Construction,2061102,3,NA
23884,55 - Tuolumne,8/10/17,In Closure,0,0,NA
23885,56 - Ventura,8/10/17,In Review,29787062,19,Greater Los Angeles Counties
23886,56 - Ventura,8/10/17,Pending Construction,6252128,20,Greater Los Angeles Counties
23887,56 - Ventura,8/10/17,In Construction,591359087,69,Greater Los Angeles Counties
23888,56 - Ventura,8/10/17,In Closure,4325632,12,Greater Los Angeles Counties
23889,57 - Yolo,8/10/17,In Review,16190923,8,Greater Sacramento Counties
23890,57 - Yolo,8/10/17,Pending Construction,498282,6,Greater Sacramento Counties
23891,57 - Yolo,8/10/17,In Construction,11017808,12,Greater Sacramento Counties
23892,57 - Yolo,8/10/17,In Closure,5579,1,Greater Sacramento Counties
23893,58 - Yuba,8/10/17,In Review,0,1,NA
23894,58 - Yuba,8/10/17,Pending Construction,3436191,6,NA
23895,58 - Yuba,8/10/17,In Construction,57501528,12,NA
23896,58 - Yuba,8/10/17,In Closure,89223547,3,NA
23897,01 - Alameda,8/25/17,In Review,150395970,54,Bay Area Counties
23898,01 - Alameda,8/25/17,Pending Construction,27002931,42,Bay Area Counties
23899,01 - Alameda,8/25/17,In Construction,628426523,113,Bay Area Counties
23900,01 - Alameda,8/25/17,In Closure,4029270,11,Bay Area Counties
23901,02 - Alpine,8/25/17,In Review,0,0,NA
23902,02 - Alpine,8/25/17,Pending Construction,0,0,NA
23903,02 - Alpine,8/25/17,In Construction,0,0,NA
23904,02 - Alpine,8/25/17,In Closure,0,0,NA
23905,03 - Amador,8/25/17,In Review,0,0,NA
23906,03 - Amador,8/25/17,Pending Construction,65000,1,NA
23907,03 - Amador,8/25/17,In Construction,2143187,4,NA
23908,03 - Amador,8/25/17,In Closure,147012,3,NA
23909,04 - Butte,8/25/17,In Review,88689000,10,NA
23910,04 - Butte,8/25/17,Pending Construction,105000,2,NA
